FIRST_AUTHOR,PUBLICATION_YEAR,JOURNAL,SAMPLING_GEO,NGS_GEO,SAMPLING_YEAR(S),ZOONOTIC_AGENT,SPECIFIC_VIRUS,AGENT_TYPE,STUDY_AIM_1,STUDY_AIM_2,HUM_SAMPLE_SIZE,ANI_MULTISPECIES,ANI_SAMPLE_SIZE,LIVESTOCK_SAMPLE_SIZE,PET_SAMPLE_SIZE,POULTRY_SAMPLE_SIZE,WILDLIFE_SAMPLE_SIZE,ENV_DOMAIN,ARACHNIDA_SAMPLE_SIZE,INSECTA_SAMPLE_SIZE,BIOTIC-ENV_SAMPLE_SIZE,ABIOTIC_SAMPLE_SIZE,PRE-NGS_CULTURE,PRE-NGS_ANALYSIS,NUCLEIC_ACID,NUCLEIC_ACID_EXT,NUCLEIC_ACID_EXT_TYPE,LIBRARY_PREP_MAIN,NGS_PLATFORM_SHORT_PRIMARY,NGS_PLATFORM_LONG,ASSEMBLY/MAPPING_SOFTWARE,ASSEMBLY_TYPE,ALIGNMENT_SOFTWARE,PHYLO_SOFTWARE,PHYLO_MODEL,PHYLO_RESULTS,RECOMBINATION,PUBLIC_ARCHIVE,PUBLIC_DATA,PUBLIC_CODE
Abdel-Glil,2021,j_clin_microbiol,Globe,N/S,1917-2013,Bacillus_anthracis,N/A,bacterium_gram+,diagnostics_development_surveillance,N/A,1,yes,42,42,0,0,0,0,0,0,0,0,N/S,genotyping,DNA,Qiagen_GenomicTips+DNeasyb&t,manual,Illumina_NexteraXT,Illumina_MiSeq,no,SPAdes-Shovill,de_novo,Parsnp,SeqSphere+,NeiJo+MaxLik,relatedness,Gubbins,NCBI,raw_reads,yes
Akter,2017,genome_biol_evol,Japan,N/S,1985-2014,Rickettsia_japonica,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,17,N/A,0,0,0,0,0,14,14,0,0,0,yes,N/S,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT+PacBio_N/S,Illumina_MiSeq,PacBio_RSII,Platanus,ref_genome,GENETYX,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
Alba,2020,microb_genom,Europe,Italy,2001-2017,Salmonella_enterica_infantis,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,79,yes,235,65,1,169,0,68,0,0,58,10,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_N/S,no,SPAdes,de_novo,BWA,CSIphylogeny+FastTree,MaxLik,relatedness,no,ENA,raw_reads,no
Allué-Guardia,2022,microb_genom,Globe,N/S,1950-2013,Escherichia_coli,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,8,no,8,8,0,0,0,4,0,0,4,0,yes,N/S,DNA,Qiagen_QIAampDNAmini,manual,Lucigen_NxSeqAmpFREE+Roche_KAPAhyperplus+ONT_SQK-LSK108,Illumina_MiSeq,ONT_MinION,SPAdes,ref_genome,BWA+Mugsy,PAUP+RAxML,MaxPar+MaxLik,relatedness,no,NCBI,raw_reads,no
Almeida,2018,plos_one,Brazil,N/S,1983-2013,Salmonella_enterica_typhimurium,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,42,yes,45,34,0,11,0,2,0,0,2,0,N/S,N/S,DNA,N/S,N/S,Illumina_NexteraXT,Illumina_NextSeq,no,SPAdes,de_novo,CFSAN_pipeline,GARLI,MaxLik,relatedness,no,NCBI,genome_assemblies,no
Antwerpen,2019,peerj,Germany,N/S,2008-2011,Orthopoxvirus_genus,Cowpox,virus_dsDNA,outbreak_epidemiology,N/A,5,yes,8,0,8,0,0,0,0,0,0,0,yes,PCR,DNA,Roche_MagNAPureCompact,automated,Illumina_NexteraXT,Illumina_MiSeq,no,SPAdes,ref_genome,Blastn,Phangorn,MaxPar,relatedness,no,NCBI,genome_assemblies,no
Appelt,2019,front_cell_infect_microbiol,Germany,N/S,2007-2018,Francisella_tularensis_holartica,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,25,yes,9,0,0,0,9,0,0,0,0,0,yes,N/S,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT,Illumina_MiSeq,no,Bowtie,ref_genome,Mauve,N/S,NeiJo,relatedness,no,ENA,raw_reads,no
Aung,2022,int_j_erph,Singapore,Singapore,2016-2017,Salmonella_enterica_enteritidis,N/A,bacterium_gram-,cross-domain_transmission,GWAS_pathogenicity_AMR,246,yes,27,0,0,27,0,3,0,0,0,3,yes,N/S,DNA,Qiagen_DNeasyb&t,manual,NEB_NEBNextUltra,Illumina_HiSeq,no,BWA,ref_genome,N/S,FastTree,MaxLik,relatedness,no,NCBI,raw_reads,no
Avanzi,2016,science,UK+Ireland,N/S,2006-2016,Mycobacterium_leprae/lepromatosis,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,1,no,7,0,0,0,7,0,0,0,0,0,no,PCR+serology,DNA,Qiagen_QIAampDNAmicrobiome,manual,KAPAhyperplus,Illumina_HiSeq,no,Bowtie2,ref_genome,LAST,MEGA+BEAST,NeiJo+MaxPar+Bayes,temporally-resolved,no,NCBI,raw_reads,no
Aworh,2021,antimicrob_resist_infect_control,Nigeria,N/S,2018-2020,Escherichia_coli,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,47,no,36,0,0,36,0,26,0,0,0,26,yes,N/S,DNA,N/S,N/S,Illumina_NexteraXT,Illumina_MiSeq,no,SPAdes,de_novo,N/S,CSIphylogeny,MaxLik,relatedness,no,NCBI,genome_assemblies,no
Black,2019,bmc_infect_dis,Colombia,Colombia+USA,2015-2016,Flavivirus_genus,Zika,virus_ssRNA,genomic_diversity_evolution,N/A,18,N/A,0,0,0,0,0,3,0,3,0,0,N/S,qPCR,RNA,Roche_MagNAPure96+Qiagen_RNeasy,automated+manual,ONT_SQK-LSK108,no,ONT_MinION,BWA,ref_genome,MAFFT,IQ-TREE+TreeTime,MaxLik+Bayes,temporally-resolved,no,NCBI,consensus_sequences,yes
Bloomfield,2017,emerg_infect_dis,NewZealand,N/S,1998-2012,Salmonella_enterica_typhimurium,N/A,bacterium_gram-,outbreak_epidemiology,N/A,35,yes,74,24,0,25,25,0,0,0,0,0,no,N/S,DNA,Qiagen_QIAampDNAmini,manual,Illumina_TruSeqDNAFree,Illumina_MiSeq,no,Velvet,de_novo,Snippy,RAxML+BEAST,MaxLik+Bayes,temporally-resolved,no,ENA,raw_reads,yes
Branley,2016,sci_rep,Australia,N/S,2003-2012,Chlamydia_psittaci,N/A,bacterium_gram-,cross-domain_transmission,N/A,6,no,1,0,0,0,1,0,0,0,0,0,yes,N/S,DNA,bioMerieux_NucliSENSeasyMAG,automated,Agilent_SureSelectXT,Illumina_HiSeq,no,SPAdes,ref_genome,Mugsy,PhyML+BEAST,MaxLik+Bayes,temporally-resolved,Gubbins,NCBI,genome_assemblies,no
Bryant,2016,bmc_genomics,Globe,N/S,1981-2010,Mycobacterium_avium_paratubercolosis,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,9,yes,131,112,0,0,19,1,0,0,0,1,yes,genotyping,DNA,Qiagen_DNeasyb&t,manual,N/S,Illumina_GAIIx,no,SMALT,ref_genome,SMALT,RAxML+BEAST,MaxLik+Bayes,relatedness,no,ENA,raw_reads,no
Buultjens,2018,appl_environ_microbiol,Oceania,N/S,1945-2016,Mycobacterium_ulcerans,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,172,yes,6,0,1,0,5,0,0,0,0,0,yes,N/S,DNA,N/S,N/S,Illumina_NexteraXT,Illumina_NextSeq,no,N/S,ref_genome,Snippy,PhyML+BEAST,MaxLik+Bayes,temporally-resolved,no,NCBI,raw_reads,no
