company,type,ngs_platform_primary,unit,publication_year
BGI,MGISEQ2000,BGI_MGISEQ2000,start,2018
Illumina,iSeq100,Illumina_iSeq100,start,2018
Illumina,NovaSeq,Illumina_NovaSeq,start,2017
BGI,BGISEQ50,BGI_BGISEQ50,start,2016
BGI,BGISEQ500,BGI_BGISEQ500,start,2015
ONT,MinION,ONT_MinION,start,2015
Illumina,NextSeq,Illumina_NextSeq,start,2014
PacBio,RSII,PacBio_RSII,start,2013
Illumina,MiSeq,Illumina_MiSeq,start,2011
Illumina,HiSeq,Illumina_HiSeq,start,2010
Ion Torrent,IonPGM,IonTorrent_IonPGM,start,2010
Illumina,GAIIx,Illumina_GAIIx,start,2007
Roche,454,Roche_454,start,2007
BGI,MGISEQ2000,BGI_MGISEQ2000,end,2024
Illumina,iSeq100,Illumina_iSeq100,end,2024
Illumina,NovaSeq,Illumina_NovaSeq,end,2024
BGI,BGISEQ50,BGI_BGISEQ50,end,2024
BGI,BGISEQ500,BGI_BGISEQ500,end,2024
ONT,MinION,ONT_MinION,end,2024
Illumina,NextSeq,Illumina_NextSeq,end,2024
PacBio,RSII,PacBio_RSII,end,2021
Illumina,MiSeq,Illumina_MiSeq,end,2024
Illumina,HiSeq,Illumina_HiSeq,end,2023
Ion Torrent,IonPGM,IonTorrent_IonPGM,end,2024
Illumina,GAIIx,Illumina_GAIIx,end,2024
Roche,454,Roche_454,end,2013
